Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,CHO Nam-Kyu POSITION,CHO Nam-Kyu LAP TIME,CHO Nam-Kyu ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,JOHNSON Alex POSITION,JOHNSON Alex LAP TIME,JOHNSON Alex ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,VOSKRESENSKIY Mikhail POSITION,VOSKRESENSKIY Mikhail LAP TIME,VOSKRESENSKIY Mikhail ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
0,10.925,2:18.719,0,10.865,2:18.398,0,11.820,2:07.961,0,9.937,2:14.959,0,10.384,2:18.158,0,10.924,2:18.727,0,10.777,2:18.336,0,10.836,2:18.303
0,10.682,2:29.401,0,10.825,2:29.223,0,10.884,2:18.844,0,10.119,2:25.078,0,11.113,2:29.271,0,10.578,2:29.305,0,10.777,2:29.113,0,10.928,2:29.231
0,12.137,2:41.538,0,12.175,2:41.398,0,10.685,2:29.529,0,11.740,2:36.818,0,12.704,2:41.975,0,12.221,2:41.525,0,12.436,2:41.548,0,12.069,2:41.300
0,11.986,2:53.524,0,12.075,2:53.473,0,12.227,2:41.757,0,11.057,2:47.875,0,12.038,2:54.013,0,13.198,2:54.724,0,12.014,2:53.563,0,12.015,2:53.315
0,11.783,3:05.307,0,11.217,3:04.690,0,12.201,2:53.957,0,10.876,2:58.751,0,11.212,3:05.225,0,10.258,3:04.982,0,11.536,3:05.099,0,11.268,3:04.583
0,9.729,3:15.036,0,10.309,3:14.999,0,11.290,3:05.247,0,10.930,3:09.681,0,10.442,3:15.668,0,10.385,3:15.367,0,10.239,3:15.338,0,10.465,3:15.048
0,10.363,3:25.399,0,10.425,3:25.425,0,10.400,3:15.647,0,11.756,3:21.437,0,10.339,3:26.007,0,10.295,3:25.661,0,9.963,3:25.301,0,10.281,3:25.329
0,10.984,3:36.383,0,10.888,3:36.313,0,10.251,3:25.898,0,14.224,3:35.661,0,10.823,3:36.830,0,10.981,3:36.642,0,11.074,3:36.375,0,11.024,3:36.353
0,11.427,3:47.810,0,11.999,3:48.312,0,10.755,3:36.654,0,12.262,3:47.922,0,11.857,3:48.687,0,11.918,3:48.559,0,11.961,3:48.336,0,11.660,3:48.013
0,11.054,3:58.864,0,10.801,3:59.113,0,12.018,3:48.672,0,11.078,3:59.000,0,11.047,3:59.734,0,10.624,3:59.183,0,10.751,3:59.087,0,11.100,3:59.113
0,10.807,4:09.671,0,9.802,4:08.915,0,10.943,3:59.615,0,11.247,4:10.247,0,10.114,4:09.848,0,9.897,4:09.080,0,11.347,4:10.434,0,10.477,4:09.589
0,10.118,4:19.789,0,10.453,4:19.368,0,10.317,4:09.932,0,10.412,4:20.659,0,10.302,4:20.150,0,10.550,4:19.630,0,11.752,4:22.186,0,10.277,4:19.866
0,10.410,4:30.199,0,10.178,4:29.546,0,10.080,4:20.011,0,11.809,4:32.467,0,10.493,4:30.643,0,10.787,4:30.417,0,12.813,4:34.999,0,10.330,4:30.196
0,10.493,4:40.692,0,9.643,4:39.189,0,10.648,4:30.659,0,12.027,4:44.494,0,11.226,4:41.869,0,18.660,4:49.078,0,13.883,4:48.882,0,10.469,4:40.665
0,10.668,4:51.360,0,9.367,4:48.556,0,10.237,4:40.896,0,11.912,4:56.405,0,11.914,4:53.784,0,10.252,4:59.329,0,14.196,5:03.079,0,10.674,4:51.339
0,10.745,5:02.105,0,9.786,4:58.342,0,10.526,4:51.422,0,12.925,5:09.330,0,12.285,5:06.069,0,11.146,5:10.475,0,12.691,5:15.769,0,10.804,5:02.142
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
