Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Kota AKIMOTO POSITION,Kota AKIMOTO LAP TIME,Kota AKIMOTO ELAPSED TIME,Rei TOYOFUKU POSITION,Rei TOYOFUKU LAP TIME,Rei TOYOFUKU ELAPSED TIME,Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
4,11.25,2:02.58,3,10.97,2:02.53,10,10.72,2:03.17,2,11.02,2:02.47,5,10.96,2:02.64,7,10.95,2:02.74,8,10.79,2:02.90,9,10.75,2:03.04,6,10.72,2:02.67,1,10.82,1:55.73
6,11.73,2:14.31,3,11.46,2:13.99,10,11.65,2:14.82,2,11.44,2:13.91,4,11.49,2:14.13,7,11.66,2:14.40,8,11.64,2:14.54,9,11.60,2:14.64,5,11.56,2:14.23,1,11.27,2:07.00
6,12.17,2:26.48,3,12.22,2:26.21,10,12.30,2:27.12,2,12.20,2:26.11,4,12.16,2:26.29,7,12.19,2:26.59,8,12.18,2:26.72,9,12.22,2:26.86,5,12.16,2:26.39,1,11.58,2:18.58
6,12.11,2:38.59,3,12.07,2:38.28,10,11.91,2:39.03,2,12.06,2:38.17,4,12.10,2:38.39,8,12.11,2:38.70,7,11.95,2:38.67,9,12.01,2:38.87,5,12.11,2:38.50,1,11.37,2:29.95
6,11.46,2:50.05,3,11.48,2:49.76,10,11.47,2:50.50,2,11.46,2:49.63,4,11.49,2:49.88,7,11.37,2:50.07,8,11.50,2:50.17,9,11.49,2:50.36,5,11.51,2:50.01,1,11.29,2:41.24
7,10.90,3:00.95,2,10.81,3:00.57,10,10.86,3:01.36,3,11.08,3:00.71,5,10.91,3:00.79,4,10.69,3:00.76,8,10.93,3:01.10,9,10.90,3:01.26,6,10.83,3:00.84,1,11.05,2:52.29
8,20.98,3:21.93,2,10.23,3:10.80,7,10.35,3:11.71,3,10.19,3:10.90,10,24.04,3:24.83,4,10.23,3:10.99,5,10.16,3:11.26,6,10.37,3:11.63,9,21.32,3:22.16,1,11.35,3:03.64
9,13.23,3:35.16,2,10.45,3:21.25,7,10.14,3:21.85,3,10.45,3:21.35,10,16.52,3:41.35,4,10.45,3:21.44,5,10.28,3:21.54,6,10.10,3:21.73,8,12.70,3:34.86,1,11.48,3:15.12
9,11.03,3:46.19,2,10.72,3:31.97,7,10.65,3:32.50,3,10.74,3:32.09,10,13.82,3:55.17,4,10.77,3:32.21,5,10.75,3:32.29,6,10.68,3:32.41,8,10.72,3:45.58,1,11.69,3:26.81
9,10.96,3:57.15,2,10.53,3:42.50,7,10.69,3:43.19,3,10.55,3:42.64,10,12.75,4:07.92,4,10.52,3:42.73,5,10.55,3:42.84,6,10.68,3:43.09,8,10.37,3:55.95,1,11.89,3:38.70
9,11.44,4:08.59,2,10.11,3:52.61,6,9.78,3:52.97,3,10.10,3:52.74,10,12.44,4:20.36,4,10.11,3:52.84,5,10.12,3:52.96,7,12.18,3:55.27,8,10.66,4:06.61,1,11.54,3:50.24
9,12.28,4:20.87,3,9.70,4:02.31,2,9.31,4:02.28,5,9.89,4:02.63,10,12.80,4:33.16,4,9.71,4:02.55,6,9.79,4:02.75,7,12.76,4:08.03,8,10.88,4:17.49,1,11.83,4:02.07
9,12.14,4:33.01,2,9.77,4:12.08,1,9.36,4:11.64,5,10.09,4:12.72,10,11.99,4:45.15,3,9.65,4:12.20,4,9.89,4:12.64,7,12.44,4:20.47,8,11.16,4:28.65,6,11.63,4:13.70
9,11.26,4:44.27,3,10.10,4:22.18,1,9.56,4:21.20,5,10.36,4:23.08,10,11.78,4:56.93,2,9.70,4:21.90,4,9.64,4:22.28,7,12.78,4:33.25,8,11.91,4:40.56,6,11.86,4:25.56
9,11.40,4:55.67,4,11.06,4:33.24,1,9.68,4:30.88,5,11.18,4:34.26,10,12.21,5:09.14,2,9.66,4:31.56,3,9.73,4:32.01,7,12.02,4:45.27,8,12.11,4:52.67,6,12.77,4:38.33
9,11.90,5:07.57,4,11.78,4:45.02,1,9.92,4:40.80,5,11.93,4:46.19,10,15.08,5:24.22,2,9.99,4:41.55,3,9.95,4:41.96,7,11.77,4:57.04,8,11.55,5:04.22,6,12.78,4:51.11
8,18.15,5:25.717,4,11.77,4:56.784,1,10.30,4:51.097,5,13.60,4:59.787,0,,notime,2,10.21,4:51.751,3,10.15,4:52.101,7,11.95,5:08.986,0,,PEN,6,11.78,5:02.886
