Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,William PREUDHOMME POSITION,William PREUDHOMME LAP TIME,William PREUDHOMME ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Rei TOYOFUKU POSITION,Rei TOYOFUKU LAP TIME,Rei TOYOFUKU ELAPSED TIME
1,10.70,1:54.22,6,10.49,2:02.72,8,10.56,2:02.92,10,10.58,2:03.14,9,10.58,2:03.06,4,10.51,2:02.43,5,10.51,2:02.54,3,10.52,2:02.34,2,10.51,2:02.24,7,10.37,2:02.81
1,10.76,2:04.98,6,11.23,2:13.95,8,11.24,2:14.16,10,11.24,2:14.38,9,11.24,2:14.30,4,11.26,2:13.69,5,11.27,2:13.81,3,11.25,2:13.59,2,11.26,2:13.50,7,11.24,2:14.05
1,10.93,2:15.91,5,11.53,2:25.48,8,11.67,2:25.83,10,11.62,2:26.00,9,11.65,2:25.95,2,11.46,2:25.15,3,11.42,2:25.23,4,11.74,2:25.33,6,12.09,2:25.59,7,11.67,2:25.72
1,10.95,2:26.86,6,12.21,2:37.69,7,11.93,2:37.76,10,12.02,2:38.02,9,12.00,2:37.95,3,12.10,2:37.25,5,12.14,2:37.37,4,12.02,2:37.35,8,12.25,2:37.84,2,11.36,2:37.08
1,11.32,2:38.18,6,11.16,2:48.85,8,11.23,2:48.99,10,11.16,2:49.18,7,10.93,2:48.88,3,11.16,2:48.41,5,11.30,2:48.67,4,11.19,2:48.54,9,11.24,2:49.08,2,11.19,2:48.27
1,11.21,2:49.39,8,11.68,3:00.53,9,11.60,3:00.59,10,11.50,3:00.68,7,11.53,3:00.41,3,11.84,3:00.25,6,11.71,3:00.38,5,11.76,3:00.30,4,11.22,3:00.30,2,11.83,3:00.10
1,11.44,3:00.83,6,11.18,3:11.71,9,11.37,3:11.96,10,11.43,3:12.11,4,11.10,3:11.51,5,11.35,3:11.60,7,11.33,3:11.71,8,11.42,3:11.72,2,11.07,3:11.37,3,11.32,3:11.42
1,11.46,3:12.29,5,10.71,3:22.42,9,10.92,3:22.88,10,10.88,3:22.99,6,11.02,3:22.53,8,11.13,3:22.73,7,10.84,3:22.55,2,10.35,3:22.07,3,10.87,3:22.24,4,10.93,3:22.35
1,10.86,3:23.15,5,10.51,3:32.93,9,10.44,3:33.32,10,10.44,3:33.43,8,10.56,3:33.09,7,10.36,3:33.09,6,10.46,3:33.01,2,10.53,3:32.60,3,10.48,3:32.72,4,10.43,3:32.78
1,10.42,3:33.57,5,10.60,3:43.53,9,10.69,3:44.01,10,10.67,3:44.10,8,10.80,3:43.89,6,10.56,3:43.65,7,10.76,3:43.77,2,10.66,3:43.26,3,10.59,3:43.31,4,10.60,3:43.38
1,10.67,3:44.24,5,9.91,3:53.44,9,9.94,3:53.95,10,10.00,3:54.10,8,9.84,3:53.73,6,9.92,3:53.57,7,9.89,3:53.66,3,9.94,3:53.20,2,9.79,3:53.10,4,9.96,3:53.34
1,10.49,3:54.73,5,9.78,4:03.22,9,9.67,4:03.62,10,9.60,4:03.70,6,9.58,4:03.31,7,9.85,4:03.42,8,9.88,4:03.54,2,9.86,4:03.06,4,10.07,4:03.17,3,9.72,4:03.06
1,10.84,4:05.57,5,9.63,4:12.85,7,9.38,4:13.00,8,9.52,4:13.22,6,9.66,4:12.97,9,9.84,4:13.26,10,9.80,4:13.34,2,9.45,4:12.51,4,9.59,4:12.76,3,9.63,4:12.69
1,11.32,4:16.89,6,9.53,4:22.38,5,9.34,4:22.34,8,9.30,4:22.52,7,9.48,4:22.45,9,9.75,4:23.01,10,9.95,4:23.29,2,9.48,4:21.99,4,9.47,4:22.23,3,9.44,4:22.13
1,11.35,4:28.24,8,9.74,4:32.12,4,9.34,4:31.68,6,9.31,4:31.83,7,9.52,4:31.97,9,9.86,4:32.87,10,10.13,4:33.42,3,9.58,4:31.57,2,9.33,4:31.56,5,9.61,4:31.74
1,11.26,4:39.50,8,9.98,4:42.10,5,9.82,4:41.50,2,9.45,4:41.28,6,9.59,4:41.56,9,10.51,4:43.38,10,10.51,4:43.93,3,9.72,4:41.29,4,9.81,4:41.37,7,10.01,4:41.75
2,11.12,4:50.612,7,10.44,4:52.536,4,9.63,4:51.127,1,9.25,4:50.525,6,9.73,4:51.290,9,11.05,4:54.425,10,11.01,4:54.937,3,9.77,4:51.056,5,9.87,4:51.232,8,11.20,4:52.945
