TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Toko NANRI POSITION,Toko NANRI LAP TIME,Toko NANRI ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME
1,20.82,2:53.03,6,21.32,2:54.07,4,20.56,2:53.65,3,20.94,2:53.42,5,21.34,2:53.90,2,20.83,2:53.23,8,21.18,2:54.32,7,21.33,2:54.18
3,22.67,3:15.70,7,22.16,3:16.23,4,22.20,3:15.85,1,22.10,3:15.52,5,22.01,3:15.91,2,22.43,3:15.66,6,21.69,3:16.01,8,22.23,3:16.41
4,22.41,3:38.11,7,22.47,3:38.70,1,22.08,3:37.93,2,22.45,3:37.97,5,22.46,3:38.37,3,22.35,3:38.01,6,22.51,3:38.52,8,22.43,3:38.84
4,18.73,3:56.84,7,18.69,3:57.39,3,18.88,3:56.81,1,18.63,3:56.60,8,19.15,3:57.52,2,18.71,3:56.72,6,18.71,3:57.23,5,18.23,3:57.07
1,13.84,4:10.68,8,14.32,4:11.71,4,14.45,4:11.26,2,14.28,4:10.88,7,14.10,4:11.62,3,14.33,4:11.05,6,14.38,4:11.61,5,14.37,4:11.44
4,13.68,4:24.36,7,13.22,4:24.93,5,13.49,4:24.75,2,13.48,4:24.36,1,12.63,4:24.25,3,13.31,4:24.36,8,13.44,4:25.05,6,13.47,4:24.91
3,12.88,4:37.24,5,12.55,4:37.48,7,13.02,4:37.77,2,12.77,4:37.13,1,12.78,4:37.03,4,12.98,4:37.34,6,12.70,4:37.75,8,13.00,4:37.91
2,11.91,4:49.15,5,12.04,4:49.52,7,12.15,4:49.92,3,12.06,4:49.19,1,12.07,4:49.10,4,12.06,4:49.40,6,11.90,4:49.65,8,12.13,4:50.04
3,11.44,5:00.59,5,11.42,5:00.94,7,11.29,5:01.21,2,11.31,5:00.50,1,11.23,5:00.33,4,11.45,5:00.85,6,11.37,5:01.02,8,11.26,5:01.30
2,10.87,5:11.46,4,10.71,5:11.65,5,10.48,5:11.69,3,10.98,5:11.48,1,11.07,5:11.40,6,10.89,5:11.74,7,10.82,5:11.84,8,10.58,5:11.88
2,10.33,5:21.79,7,10.54,5:22.19,6,10.37,5:22.06,4,10.45,5:21.93,1,10.27,5:21.67,3,10.19,5:21.93,8,10.40,5:22.24,5,10.18,5:22.06
2,9.77,5:31.56,7,9.95,5:32.14,6,9.93,5:31.99,4,9.75,5:31.68,1,9.81,5:31.48,3,9.75,5:31.68,8,9.91,5:32.15,5,9.77,5:31.83
4,9.94,5:41.50,7,9.61,5:41.75,3,9.44,5:41.43,2,9.70,5:41.38,1,9.77,5:41.25,5,9.96,5:41.64,8,9.61,5:41.76,6,9.86,5:41.69
7,9.72,5:51.22,8,9.78,5:51.53,2,9.33,5:50.76,3,9.71,5:51.09,1,9.37,5:50.62,4,9.48,5:51.12,5,9.42,5:51.18,6,9.52,5:51.21
7,9.71,6:00.93,8,9.53,6:01.06,2,9.61,6:00.37,5,9.57,6:00.66,1,9.51,6:00.13,3,9.40,6:00.52,4,9.47,6:00.65,6,9.60,6:00.81
7,9.87,6:10.80,8,9.77,6:10.83,2,9.55,6:09.92,5,9.77,6:10.43,1,9.54,6:09.67,3,9.51,6:10.03,4,9.47,6:10.12,6,9.71,6:10.52
7,10.53,6:21.330,8,10.66,6:21.488,2,9.74,6:19.655,6,10.02,6:20.447,1,9.76,6:19.425,3,9.75,6:19.774,4,9.78,6:19.891,5,9.92,6:20.439
