William PREUDHOMME POSITION,William PREUDHOMME LAP TIME,William PREUDHOMME ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Kazuya MATSUDAIRA POSITION,Kazuya MATSUDAIRA LAP TIME,Kazuya MATSUDAIRA ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Soo An YOO POSITION,Soo An YOO LAP TIME,Soo An YOO ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME
7,11.45,3:05.94,5,11.34,3:05.68,10,11.56,3:06.14,1,12.98,3:02.17,3,11.41,3:05.54,4,11.35,3:05.58,9,11.52,3:06.06,8,11.36,3:06.05,2,11.46,3:05.46,6,11.23,3:05.77
8,11.62,3:17.56,2,11.39,3:17.07,9,11.46,3:17.60,1,12.90,3:15.07,6,11.97,3:17.51,4,11.81,3:17.39,10,11.67,3:17.73,7,11.48,3:17.53,3,11.84,3:17.30,5,11.63,3:17.40
9,11.37,3:28.93,2,11.24,3:28.31,7,11.09,3:28.69,1,13.20,3:28.27,8,11.23,3:28.74,4,11.03,3:28.42,10,11.34,3:29.07,5,11.01,3:28.54,3,11.10,3:28.40,6,11.21,3:28.61
8,11.08,3:40.01,1,10.72,3:39.03,5,10.75,3:39.44,10,12.34,3:40.61,7,11.07,3:39.81,3,10.81,3:39.23,9,11.21,3:40.28,4,10.78,3:39.32,2,10.72,3:39.12,6,10.98,3:39.59
8,10.37,3:50.38,1,10.57,3:49.60,5,10.52,3:49.96,10,12.52,3:53.13,6,10.27,3:50.08,3,10.58,3:49.81,9,10.31,3:50.59,4,10.57,3:49.89,2,10.56,3:49.68,7,10.61,3:50.20
8,10.57,4:00.95,1,10.48,4:00.08,5,10.50,4:00.46,10,13.83,4:06.96,6,10.57,4:00.65,4,10.53,4:00.34,9,10.52,4:01.11,3,10.45,4:00.34,2,10.51,4:00.19,7,10.59,4:00.79
8,10.30,4:11.25,1,10.41,4:10.49,5,10.44,4:10.90,10,16.29,4:23.25,6,10.27,4:10.92,3,10.41,4:10.75,9,10.78,4:11.89,4,10.49,4:10.83,2,10.42,4:10.61,7,10.35,4:11.14
8,10.40,4:21.65,1,10.31,4:20.80,5,10.33,4:21.23,10,15.55,4:38.80,6,10.49,4:21.41,3,10.32,4:21.07,9,11.74,4:23.63,4,10.26,4:21.09,2,10.40,4:21.01,7,10.41,4:21.55
4,9.39,4:31.04,2,10.12,4:30.92,5,9.82,4:31.05,10,17.30,4:56.10,6,10.24,4:31.65,1,9.54,4:30.61,9,12.76,4:36.39,3,9.84,4:30.93,7,10.68,4:31.69,8,10.59,4:32.14
1,9.03,4:40.07,4,9.95,4:40.87,5,9.90,4:40.95,10,15.94,5:12.04,6,9.49,4:41.14,2,9.52,4:40.13,9,13.07,4:49.46,3,9.82,4:40.75,7,11.31,4:43.00,8,11.10,4:43.24
1,9.14,4:49.21,6,10.22,4:51.09,3,9.84,4:50.79,10,16.20,5:28.24,5,9.92,4:51.06,2,9.49,4:49.62,9,13.46,5:02.92,4,10.14,4:50.89,7,11.55,4:54.55,8,11.44,4:54.68
1,9.58,4:58.786,6,10.68,5:01.762,3,9.63,5:00.414,10,16.19,5:44.426,4,10.07,5:01.121,2,10.00,4:59.617,9,12.37,5:15.285,5,10.63,5:01.515,7,11.53,5:06.074,8,11.63,5:06.305
