START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
9,16.15,3:37.44,3,16.20,3:36.76,7,15.66,3:37.21,2,16.22,3:36.62,1,16.24,3:36.46,5,16.24,3:37.06,8,16.23,3:37.36,6,15.97,3:37.21,4,15.91,3:36.87,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
9,15.35,3:52.79,4,15.23,3:51.99,7,15.24,3:52.45,3,15.22,3:51.84,1,15.11,3:51.57,6,15.22,3:52.28,8,15.26,3:52.62,2,14.48,3:51.69,5,15.24,3:52.11,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
9,14.39,4:07.18,4,14.40,4:06.39,7,14.43,4:06.88,3,14.48,4:06.32,1,14.44,4:06.01,6,14.44,4:06.72,8,14.44,4:07.06,2,14.50,4:06.19,5,14.44,4:06.55,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
9,14.77,4:21.95,4,14.94,4:21.33,6,14.68,4:21.56,3,14.86,4:21.18,1,14.84,4:20.85,7,14.98,4:21.70,8,14.84,4:21.90,2,14.84,4:21.03,5,14.89,4:21.44,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
9,14.72,4:36.67,2,14.32,4:35.65,6,14.72,4:36.28,4,14.74,4:35.92,1,14.65,4:35.50,7,14.79,4:36.49,8,14.67,4:36.57,3,14.76,4:35.79,5,14.64,4:36.08,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
4,11.89,4:48.56,3,12.75,4:48.40,7,12.56,4:48.84,2,12.35,4:48.27,1,12.64,4:48.14,9,12.73,4:49.22,8,12.45,4:49.02,6,12.92,4:48.71,5,12.61,4:48.69,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
4,10.33,4:58.89,3,10.33,4:58.73,8,10.44,4:59.28,2,10.32,4:58.59,1,10.44,4:58.58,9,10.24,4:59.46,7,10.22,4:59.24,6,10.46,4:59.17,5,10.36,4:59.05,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
5,10.00,5:08.89,3,9.91,5:08.64,8,10.04,5:09.32,1,9.84,5:08.43,2,9.94,5:08.52,9,10.02,5:09.48,4,9.53,5:08.77,7,9.99,5:09.16,6,9.95,5:09.00,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
5,10.19,5:19.08,3,10.25,5:18.89,8,10.06,5:19.38,1,10.19,5:18.62,2,10.22,5:18.74,9,10.01,5:19.49,4,10.21,5:18.98,7,10.14,5:19.30,6,10.18,5:19.18,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
5,10.21,5:29.29,3,10.18,5:29.07,8,10.12,5:29.50,1,10.28,5:28.90,2,10.27,5:29.01,9,10.12,5:29.61,4,10.20,5:29.18,7,10.19,5:29.49,6,10.20,5:29.38,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
8,9.91,5:39.20,1,9.59,5:38.66,3,9.46,5:38.96,2,9.91,5:38.81,4,9.96,5:38.97,5,9.45,5:39.06,6,9.90,5:39.08,9,9.93,5:39.42,7,9.80,5:39.18,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
7,9.44,5:48.64,1,9.75,5:48.41,2,9.46,5:48.42,3,9.68,5:48.49,6,9.64,5:48.61,4,9.48,5:48.54,5,9.53,5:48.61,9,9.70,5:49.12,8,9.69,5:48.87,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
3,9.48,5:58.12,4,9.83,5:58.24,1,9.59,5:58.01,5,9.92,5:58.41,7,10.02,5:58.63,2,9.57,5:58.11,6,9.87,5:58.48,9,9.80,5:58.92,8,9.86,5:58.73,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
1,9.76,6:07.88,4,9.96,6:08.20,2,9.98,6:07.99,6,9.99,6:08.40,7,9.94,6:08.57,5,10.13,6:08.24,3,9.71,6:08.19,9,9.95,6:08.87,8,9.90,6:08.63,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
1,9.87,6:17.75,4,10.10,6:18.30,2,9.88,6:17.87,6,10.25,6:18.65,7,10.28,6:18.85,5,10.07,6:18.31,3,9.77,6:17.96,9,10.24,6:19.11,8,10.38,6:19.01,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
1,9.97,6:27.72,5,10.40,6:28.70,2,9.97,6:27.84,6,10.29,6:28.94,7,10.79,6:29.64,4,10.21,6:28.52,3,9.98,6:27.94,9,10.69,6:29.80,8,10.69,6:29.70,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
1,10.21,6:37.924,5,10.46,6:39.158,2,10.19,6:38.027,6,10.51,6:39.446,9,11.42,6:41.054,4,10.56,6:39.080,3,10.26,6:38.192,8,10.89,6:40.682,7,10.38,6:40.079,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
