START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
4,11.17,2:48.38,5,11.10,2:48.43,9,11.10,2:48.68,7,10.95,2:48.61,2,11.69,2:48.19,8,10.87,2:48.62,6,11.14,2:48.55,3,11.40,2:48.29,1,11.07,2:41.15,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,11.66,3:00.04,6,11.72,3:00.15,9,11.98,3:00.66,7,11.67,3:00.28,2,11.48,2:59.67,4,11.31,2:59.93,8,11.84,3:00.39,3,11.49,2:59.78,1,11.40,2:52.55,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,11.26,3:11.30,6,11.24,3:11.39,9,11.09,3:11.75,8,11.30,3:11.58,2,11.25,3:10.92,4,11.21,3:11.14,7,11.09,3:11.48,3,11.24,3:11.02,1,11.98,3:04.53,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,11.01,3:22.31,6,11.03,3:22.42,9,11.16,3:22.91,8,11.02,3:22.60,2,11.06,3:21.98,4,11.05,3:22.19,7,11.01,3:22.49,3,11.07,3:22.09,1,12.45,3:16.98,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,11.44,3:33.75,6,11.41,3:33.83,9,11.29,3:34.20,7,11.25,3:33.85,8,12.01,3:33.99,3,11.53,3:33.72,4,11.25,3:33.74,2,11.49,3:33.58,1,13.18,3:30.16,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
6,12.05,3:45.80,7,11.98,3:45.81,9,12.02,3:46.22,5,11.84,3:45.69,8,12.00,3:45.99,3,11.89,3:45.61,2,11.75,3:45.49,4,12.11,3:45.69,1,13.53,3:43.69,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
6,11.58,3:57.38,9,21.41,4:07.22,8,12.07,3:58.29,4,11.43,3:57.12,7,11.57,3:57.56,2,11.47,3:57.08,1,11.50,3:56.99,5,11.51,3:57.20,3,13.40,3:57.09,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,11.53,4:08.91,9,41.48,4:48.70,8,11.76,4:10.05,3,11.56,4:08.68,6,11.47,4:09.03,4,11.72,4:08.80,1,11.44,4:08.43,2,11.34,4:08.54,7,12.36,4:09.45,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,11.43,4:20.34,9,26.77,5:15.47,7,11.42,4:21.47,3,11.39,4:20.07,6,11.45,4:20.48,4,11.38,4:20.18,1,11.40,4:19.83,2,11.38,4:19.92,8,12.75,4:22.20,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,11.34,4:31.68,9,15.50,5:30.97,7,11.76,4:33.23,3,11.36,4:31.43,6,11.32,4:31.80,4,11.34,4:31.52,1,11.36,4:31.19,2,11.36,4:31.28,8,13.64,4:35.84,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,11.11,4:42.79,9,14.25,5:45.22,7,12.90,4:46.13,4,11.26,4:42.69,6,11.07,4:42.87,3,11.13,4:42.65,1,11.04,4:42.23,2,11.02,4:42.30,8,14.20,4:50.04,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
3,10.28,4:53.07,9,13.79,5:59.01,7,14.14,5:00.27,6,12.25,4:54.94,4,10.33,4:53.20,5,10.59,4:53.24,1,10.44,4:52.67,2,10.48,4:52.78,8,16.01,5:06.05,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
3,10.09,5:03.16,9,19.63,6:18.64,7,15.06,5:15.33,6,13.37,5:08.31,4,10.04,5:03.24,5,10.24,5:03.48,1,10.15,5:02.82,2,10.14,5:02.92,8,16.64,5:22.69,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
4,10.18,5:13.34,,,,7,14.13,5:29.46,6,13.94,5:22.25,2,9.81,5:13.05,5,10.04,5:13.52,1,10.22,5:13.04,3,10.21,5:13.13,8,16.05,5:38.74,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,10.28,5:23.62,,,,7,14.37,5:43.83,6,15.02,5:37.27,1,9.36,5:22.41,4,10.10,5:23.62,2,10.25,5:23.29,3,10.26,5:23.39,8,14.55,5:53.29,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
5,10.66,5:34.277,0,,notime,7,14.70,5:58.526,6,13.87,5:51.137,1,9.88,5:32.285,4,10.26,5:33.878,2,10.36,5:33.641,3,10.39,5:33.772,8,15.91,6:09.191,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
