race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
8,DNS,2,,163,SubodhBalavantPATIL,6241,IND,DNS,
9,1,1,,197,KNEGTSjinkie,7352,NED,1:38.586,Q
9,2,4,,102,LachlanHAY,6845,AUS,1:39.161,Q
9,3,3,,123,BLACKBURNMackenzie,7434,TPE,1:39.335,
9,4,2,,156,LUIPanToBarton,7551,HKG,1:40.112,
10,1,2,,176,FumihikoKAKUBARI,6024,JPN,1:31.633,Q
10,2,4,,159,GaborGALAMBOS,6010,HUN,1:31.774,Q
10,3,1,,108,AliaksandrANTANENKA,6850,BLR,1:33.298,q
10,4,3,,107,MatthiasSTELZMUELLER,7181,AUT,1:33.512,
11,1,4,,124,HANJialiang,6168,CHN,1:31.594,Q
11,2,2,,206,DariuszKULESZA,6817,POL,1:32.568,Q
11,3,1,,216,DmytroPOLTAVETS,7221,UKR,1:33.036,q
11,DNS,3,,164,VGundmiRAGHAVENDRA,7562,IND,DNS,
12,1,3,,168,CONFORTOLAYuri,6561,ITA,1:29.380,Q
12,2,4,,203,MarkJACKSON,6941,NZL,1:30.071,Q
12,3,2,,185,AndreySMETANIN,6459,KAZ,1:31.898,q
12,4,1,,134,BorenZUNAC,6170,CRO,1:37.355,
13,1,2,,213,SemenELISTRATOV,7293,RUS,1:29.333,Q
13,2,1,,224,AnthonyLOBELLO,6958,USA,1:29.347,Q
13,3,4,,114,AssenPANDOV,6778,BUL,1:29.717,q
13,4,3,,193,AnsisROBS,7689,LAT,1:30.314,
14,1,1,,119,FrancoisHAMELIN,6167,CAN,1:28.995,Q
14,2,2,,217,IevgenGUTENOV,7178,UKR,1:30.796,Q
14,3,3,,115,KirilPANDOV,6779,BUL,1:31.616,q
15,1,1,,117,HAMELINCharles,6610,CAN,1:30.630,Q
15,2,2,,130,SUIBaoKu,6416,CHN,1:30.884,Q
15,3,3,,151,PaulWORTH,6802,GBR,1:33.177,q
16,1,2,,125,SONGWeilong,7156,CHN,1:33.268,Q
16,2,3,,150,AnthonyDOUGLAS,6301,GBR,1:33.400,Q
16,3,4,,180,ArturSULTANGALIYEV,6158,KAZ,1:33.695,q
16,4,1,,166,AlexanderSELEZNOV,6204,ISR,1:37.116,
17,1,3,,143,PaulHERRMANN,6803,GER,1:31.008,Q
17,2,1,,153,TomIVESON,6898,GBR,1:31.044,Q
17,3,2,,226,MilosVIGAS,6132,SVK,1:31.141,q
17,4,4,,135,VojtechLOUDIN,7597,CZE,1:31.181,
18,1,4,,209,BartoszKONOPKO,7169,POL,1:30.241,Q
18,2,2,,200,FreekvanderWART,7269,NED,1:30.397,Q
18,3,1,,122,TSAIPing-Yuan,6583,TPE,1:33.685,q
18,DQ,3,,214,ViacheslavKURGINIAN,6934,RUS,DQ,
19,1,1,,157,PeterDARAZS,6465,HUN,1:31.279,Q
19,2,3,,178,TakahiroFUJIMOTO,6277,JPN,1:31.336,Q
19,3,2,,207,JakubJAWORSKI,6816,POL,1:31.388,q
19,4,4,,227,PeterJELEN,7077,SVK,1:32.208,
20,1,2,,160,ViktorKNOCH,6177,HUN,1:31.833,Q
20,2,3,,215,RuslanZAKHAROV,6935,RUS,1:32.063,Q
20,3,4,,136,OndrejSUCHY,7131,CZE,1:51.200,ADV
20,DQ,1,,116,AsenYORDANOV,6851,BUL,DQ,
