season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,10,3,2,,79,VolodymyrGRYGORIEV,6741,UKR,1:32.685,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,10,DQ,3,,37,PeterDARAZS,6465,HUN,DQ,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,11,1,5,,32,JonELEY,6592,GBR,1:31.679,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,11,2,2,,7,WimdeDEYNE,6699,BEL,1:31.843,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,11,3,1,,52,DaveVERSTEEG,6540,NED,1:31.982,q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,11,4,4,,47,YoshiharuARINO,6075,JPN,1:32.030,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,11,5,3,,3,StephenLEE,6002,AUS,1:33.511,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,12,1,1,,42,NicolaFRANCESCHINA,6331,ITA,1:32.025,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,12,2,2,,1,AlexMcEWAN,6428,AUS,1:32.842,Q
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,12,3,4,,56,GisleTVERLAND,7063,NOR,1:33.798,
2003-2004,"2004 World Cup 6, Italy",1000M,m,Preliminaries,12,4,3,,21,IvanDOLINIC,6669,CRO,1:34.094,
