season,competition,event,instance_of_event_in_competition,gender,round,race,Place,Start Pos.,Warn.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,lap,laptime,lap_start_position,lap_end_position,position_change
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,4,10.45,3.0,3.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,5,10.21,3.0,3.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,6,9.98,3.0,2.0,1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,7,9.48,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,8,9.82,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,9,9.87,2.0,1.0,1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,1,13.49,4.0,2.0,2.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,2,10.58,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,3,10.09,2.0,3.0,-1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,4,10.67,3.0,3.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,5,10.54,3.0,3.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,6,9.83,3.0,3.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,7,9.56,3.0,3.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,8,9.31,3.0,2.0,1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Quarterfinals,3,2,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:33.726 
					",Q,9,9.66,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Pre-Preliminaries,10,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.290 
					",Q,2,9.25,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Pre-Preliminaries,10,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.290 
					",Q,3,8.69,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Pre-Preliminaries,10,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.290 
					",Q,4,9.1,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Pre-Preliminaries,10,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.290 
					",Q,5,9.41,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Preliminaries,1,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						42.832 
					",Q,2,9.19,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Preliminaries,1,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						42.832 
					",Q,3,8.69,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Preliminaries,1,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						42.832 
					",Q,4,8.9,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Preliminaries,1,2,2,,,197.0,KNEGTSjinkie,7352,NED,"
						42.832 
					",Q,5,9.17,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,14,1,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.823 
					",Q,2,9.46,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,14,1,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.823 
					",Q,3,8.91,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,14,1,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.823 
					",Q,4,9.01,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,14,1,2,,,197.0,KNEGTSjinkie,7352,NED,"
						43.823 
					",Q,5,9.54,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,20,3,3,,,189.0,KWAKYoon-Gy,6120,KOR,"
						46.005 
					",,2,9.32,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,20,3,3,,,189.0,KWAKYoon-Gy,6120,KOR,"
						46.005 
					",,3,8.85,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,20,3,3,,,189.0,KWAKYoon-Gy,6120,KOR,"
						46.005 
					",,4,9.08,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",500m,-1,m,Races,20,3,3,,,189.0,KWAKYoon-Gy,6120,KOR,"
						46.005 
					",,5,11.55,2.0,3.0,-1.0
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,1,14.12,4.0,1.0,3.0
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,2,11.32,1.0,1.0,-0.0
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,3,11.44,1.0,1.0,-0.0
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,4,10.64,1.0,1.0,-0.0
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,5,10.19,1.0,2.0,-1.0
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,6,10.1,2.0,2.0,-0.0
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,7,10.07,2.0,3.0,-1.0
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,8,10.16,3.0,4.0,-1.0
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,9,10.73,4.0,4.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,1,13.14,3.0,4.0,-1.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,2,9.91,4.0,4.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,3,9.6,4.0,3.0,1.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,4,9.26,3.0,3.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,5,9.04,3.0,3.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,6,9.16,3.0,3.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,7,9.15,3.0,3.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,8,9.17,3.0,3.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,9,9.55,3.0,3.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,1,12.97,2.0,2.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,2,9.7,2.0,2.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,3,9.84,2.0,2.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,4,9.34,2.0,4.0,-2.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,5,9.41,4.0,3.0,1.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,6,8.94,3.0,1.0,2.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,7,9.14,1.0,1.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,8,9.16,1.0,1.0,-0.0
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,9,9.24,1.0,1.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,1,12.93,3.0,2.0,1.0
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,2,10.4,2.0,4.0,-2.0
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,3,10.14,4.0,3.0,1.0
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,4,9.67,3.0,3.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,5,9.52,3.0,4.0,-1.0
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,6,9.51,4.0,4.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,7,9.54,4.0,4.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,8,9.23,4.0,4.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,9,9.22,4.0,3.0,1.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,1,12.65,4.0,3.0,1.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,2,9.35,3.0,3.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,3,9.22,3.0,3.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,4,9.28,3.0,3.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,5,8.93,3.0,1.0,2.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,6,9.02,1.0,1.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,7,8.94,1.0,1.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,8,9.2,1.0,1.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,9,9.49,1.0,1.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,1,13.04,3.0,4.0,-1.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,2,9.72,4.0,4.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,3,9.79,4.0,2.0,2.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,4,9.45,2.0,2.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,5,8.97,2.0,2.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,6,9.02,2.0,2.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,7,9.27,2.0,2.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,8,9.14,2.0,1.0,1.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,9,9.77,1.0,2.0,-1.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,1,13.88,2.0,3.0,-1.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,2,10.52,3.0,1.0,2.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,3,10.29,1.0,2.0,-1.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,4,10.1,2.0,2.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,5,9.66,2.0,2.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,6,9.44,2.0,2.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,7,9.1,2.0,2.0,-0.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,8,8.87,2.0,1.0,1.0
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,9,9.29,1.0,1.0,-0.0
2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),500m,-1,m,Preliminaries,9,1,5,,,2.0,KNEGTSjinkie,7352,NED,"
						42.266 
					",Q,2,9.0,3.0,2.0,1.0
2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),500m,-1,m,Preliminaries,9,1,5,,,2.0,KNEGTSjinkie,7352,NED,"
						42.266 
					",Q,3,8.51,2.0,2.0,-0.0
2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),500m,-1,m,Preliminaries,9,1,5,,,2.0,KNEGTSjinkie,7352,NED,"
						42.266 
					",Q,4,8.71,2.0,2.0,-0.0
2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),500m,-1,m,Preliminaries,9,1,5,,,2.0,KNEGTSjinkie,7352,NED,"
						42.266 
					",Q,5,8.76,2.0,1.0,1.0
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Quarterfinals,1,1,2,,,9.0,AriannaFONTANA,6227,ITA,"
						44.369 
					",Q,2,9.57,1.0,1.0,-0.0
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Quarterfinals,1,1,2,,,9.0,AriannaFONTANA,6227,ITA,"
						44.369 
					",Q,3,9.04,1.0,1.0,-0.0
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Quarterfinals,1,1,2,,,9.0,AriannaFONTANA,6227,ITA,"
						44.369 
					",Q,4,9.14,1.0,1.0,-0.0
